Primer trimestre de 2003;Buenos Aires;21.7;47.6;6.4;37.3;12.7
Primer trimestre de 2003;Ciudad de Buenos Aires;17.4;51.3;5.2;42.4;5.6
Primer trimestre de 2003;Partidos de Buenos Aires;23.1;46.5;6.8;35.8;15.0
Primer trimestre de 2003;Región Cuyo ;15.5;43.3;4.2;36.6;13.1
Primer trimestre de 2003;Mendoza;16.9;44.3;4.4;36.8;12.3
Primer trimestre de 2003;San Juan;NA;NA;NA;NA;NA
Primer trimestre de 2003;San Luis;NA;NA;NA;NA;NA
Primer trimestre de 2003;Región Noreste ;14.7;36.1;3.9;30.8;9.6
Primer trimestre de 2003;Corrientes;NA;NA;NA;NA;NA
Primer trimestre de 2003;Formosa;NA;NA;NA;NA;NA
Primer trimestre de 2003;Chaco;NA;NA;NA;NA;NA
Primer trimestre de 2003;Misiones;NA;NA;NA;NA;NA
Primer trimestre de 2003;Región Noroeste ;18.8;41.8;4.5;33.9;14.6
Primer trimestre de 2003;Catamarca;NA;NA;NA;NA;NA
Primer trimestre de 2003;Tucumán;21.2;41.7;4.8;32.9;19.0
Primer trimestre de 2003;Jujuy;NA;NA;NA;NA;NA
Primer trimestre de 2003;La Rioja;NA;NA;NA;NA;NA
Primer trimestre de 2003;Salta;NA;NA;NA;NA;NA
Primer trimestre de 2003;Santiago del Estero;NA;NA;NA;NA;NA
Primer trimestre de 2003;Región Pampeana ;21.1;45.3;5.4;35.8;10.0
Primer trimestre de 2003;Bahía Blanca - Cerri (3);NA;NA;NA;NA;NA
Primer trimestre de 2003;Concordia (3) entre rios;NA;NA;NA;NA;NA
Primer trimestre de 2003;Córdoba;23.6;45.6;4.9;34.8;14.0
Primer trimestre de 2003;Gran La Plata ;19.7;45.9;4.5;36.8;5.5
Primer trimestre de 2003;Gran Rosario santa fe;22.4;44.1;6.1;34.2;10.1
Primer trimestre de 2003;Entre Ríos;NA;NA;NA;NA;NA
Primer trimestre de 2003;Santa Fe;NA;NA;NA;NA;NA
Primer trimestre de 2003;Mar del Plata - Batán     ;18.1;50.6;6.9;41.5;7.5
Primer trimestre de 2003;Río Cuarto (3) cordoba;NA;NA;NA;NA;NA
Primer trimestre de 2003;La Pampa;NA;NA;NA;NA;NA
Primer trimestre de 2003;San Nicolás - Villa Constitución (3) santa fe;NA;NA;NA;NA;NA
Primer trimestre de 2003;Región Patagónica ;12.3;42.7;2.7;37.4;5.7
Primer trimestre de 2003;Chubut;NA;NA;NA;NA;NA
Primer trimestre de 2003;Neuquén;NA;NA;NA;NA;NA
Primer trimestre de 2003;Santa Cruz;NA;NA;NA;NA;NA
Primer trimestre de 2003;Tierra del Fuego;NA;NA;NA;NA;NA
Primer trimestre de 2003;Rawson - Trelew (3) (5) chubut;NA;NA;NA;NA;NA
Primer trimestre de 2003;Río Negro;NA;NA;NA;NA;NA
